2025-12-11 15:37:08,458 - [2025-12-11 15:37:08] Received message: {'TIMESTAMP': '153707.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:10,120 - [2025-12-11 15:37:10] Received message: {'TIMESTAMP': '153709.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:12,624 - [2025-12-11 15:37:12] Received message: {'TIMESTAMP': '153711.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:14,199 - [2025-12-11 15:37:14] Received message: {'TIMESTAMP': '153713.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 99.99, 'SAT': 0, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:16,702 - [2025-12-11 15:37:16] Received message: {'TIMESTAMP': '153715.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 19.56, 'SAT': 3, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:18,289 - [2025-12-11 15:37:18] Received message: {'TIMESTAMP': '153717.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 19.56, 'SAT': 3, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:20,357 - [2025-12-11 15:37:20] Received message: {'TIMESTAMP': '153719.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 19.56, 'SAT': 3, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:22,860 - [2025-12-11 15:37:22] Received message: {'TIMESTAMP': '153722.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 19.55, 'SAT': 3, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:24,449 - [2025-12-11 15:37:24] Received message: {'TIMESTAMP': '153724.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 19.55, 'SAT': 3, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:26,951 - [2025-12-11 15:37:26] Received message: {'TIMESTAMP': '153726.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.16, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:28,601 - [2025-12-11 15:37:28] Received message: {'TIMESTAMP': '153728.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.17, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:30,602 - [2025-12-11 15:37:30] Received message: {'TIMESTAMP': '153730.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.18, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:33,105 - [2025-12-11 15:37:33] Received message: {'TIMESTAMP': '153732.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.19, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:35,191 - [2025-12-11 15:37:35] Received message: {'TIMESTAMP': '153734.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.19, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:36,760 - [2025-12-11 15:37:36] Received message: {'TIMESTAMP': '153736.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.2, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
2025-12-11 15:37:39,262 - [2025-12-11 15:37:39] Received message: {'TIMESTAMP': '153738.00', 'EQUIP_TYPE': 'F10M', 'EQUIP_ID': 'PICO_TEST', 'LAT': 0.0, 'LON': 0.0, 'QUAL': 0, 'ALT': 0.0, 'KPH': '0.0', 'HDOP': 12.21, 'SAT': 4, 'D_AGE': 0.0, 'D_ID': '', 'NS': '', 'EW': ''} on topic 'pico/cursor/tx' with QoS 0
